,sample_id,band,mean,median,sigma
0,0,u,21.07043090212634,21.07043090212634,0.007710548098620151
1,0,g,20.159505048635186,20.160451382573417,0.007909671587834916
2,0,r,19.77357925875203,19.774870592764195,0.008834552768769557
3,0,i,19.63741860623462,19.634176672048188,0.007377871657369089
4,0,z,19.599987574351513,19.596685757922785,0.009658000661817896
5,0,y,19.598213870967708,19.579474425554206,0.04417986686364643
6,1,u,20.55540740155226,20.55540740155226,0.0
7,1,g,18.52293245635191,18.524110975609496,0.006337486177642297
8,1,r,17.720737266312064,17.722599016630703,0.00531403975083998
9,1,i,17.444774370639706,17.444774370639706,0.0029347053154324954
10,1,z,17.342162956000855,17.343554243700538,0.003609760916007203
11,1,y,17.26578285251107,17.266873413980363,0.004339790763141405
12,2,u,21.739356579921076,21.732477725941123,0.01965340141562341
13,2,g,19.2956341337971,19.29593244421025,0.006315606439749692
14,2,r,17.992646037825416,17.991756488973067,0.004799901843482969
15,2,i,16.75522552658341,16.755480562343994,0.0044711832002620935
16,2,z,16.217050424406086,16.216354814774746,0.0038683965215414295
17,2,y,15.959305081712818,15.958690533689818,0.0028589345867342567
18,3,u,18.10239983870739,18.097335243349363,0.01035478856317875
19,3,g,16.138879772104804,16.138706479330445,0.0038360277778238913
20,3,r,15.368618913840209,15.368560944896382,0.005109506022110363
21,3,i,15.101407180305145,15.099201376489289,0.00430117203179843
22,3,z,14.991522920360602,14.990947186147082,0.003582705383172812
23,3,y,14.918858296811678,14.918315140366452,0.0015271357778338028
24,4,u,22.110642886200537,22.13289104754184,0.05779469989522711
25,4,g,21.30293760782866,21.302291509836678,0.014999382111530731
26,4,r,20.93201387340411,20.93075330891568,0.015838639798890632
27,4,i,20.784415093311484,20.784750989433448,0.019295967145439012
28,4,z,20.73849263373791,20.72936421673962,0.03449020727458209
29,4,y,20.776421878985747,20.73332147041159,0.07358876322339881
30,5,u,18.836916438096683,18.84208155249605,0.010826161646319924
31,5,g,17.752068716306432,17.751261944580563,0.0046676554813453765
32,5,r,17.341195730287893,17.341366625228755,0.004615558027451314
33,5,i,17.20034508939018,17.201866038815062,0.0037780982204004584
34,5,z,17.158631103001515,17.159348887167923,0.0038479749014753407
35,5,y,17.130070277223655,17.128306759408183,0.0057845231654469025
36,6,u,21.715489825697077,21.736209396722714,0.051732536112276815
37,6,g,20.63859429236221,20.638142114095107,0.011241997641740924
38,6,r,20.161498413827182,20.16260451795719,0.00967139982234388
39,6,i,19.977515656010414,19.979830096872355,0.010964612561806194
40,6,z,19.91702332245723,19.914413184872373,0.01397985733444875
41,6,y,19.861032511403593,19.87700964248735,0.03857018891949273
42,7,u,20.966526464306266,20.97180968419716,0.027329614017107297
43,7,g,19.81372255793294,19.81273046012179,0.007005903653258426
44,7,r,19.297331602590308,19.296435287501097,0.005574103145857763
45,7,i,19.10354072305215,19.10440563743321,0.005102019864598963
46,7,z,19.030576110842045,19.030286289462527,0.009606258925209004
47,7,y,18.994070975778435,18.99319276239062,0.02029687150901613
48,8,u,20.735710540611482,20.73828467404704,0.03980296015466854
49,8,g,19.39130432838235,19.39120694024019,0.0068038240079797115
50,8,r,18.802234189303817,18.80233180829666,0.004516592896051675
51,8,i,18.615502187376237,18.614873137312525,0.006436061905136125
52,8,z,18.672826705519352,18.673486946891412,0.0067540419624988555
53,8,y,18.64642689806067,18.644446623028966,0.017430086781304924
54,9,u,22.319553583048748,22.260528955218312,0.09581424539263234
55,9,g,19.812783892469945,19.81129991453048,0.00918855334156871
56,9,r,18.537705184296012,18.537771510432396,0.005380522689058185
57,9,i,17.227840467256552,17.230238432857114,0.004902532375379822
58,9,z,16.649874250899252,16.650164453037718,0.004651129893696526
59,9,y,16.367566867977803,16.367834045739247,0.001011655341793832
60,10,u,21.255612927645185,21.252236620438588,0.025141001562863453
61,10,g,20.821485192894695,20.8217115323322,0.014316354298738138
62,10,r,20.508252790531497,20.50656576444019,0.014704170112367809
63,10,i,20.315254888001085,20.319635883526665,0.009919727848518974
64,10,z,20.022473957493535,20.020249976897915,0.019045594358572067
65,10,y,19.942098240837304,19.942098240837304,0.0
66,11,u,21.72355589974485,21.722084980488617,0.048136733983827555
67,11,g,21.016394587286076,21.01325630526337,0.021029929232651127
68,11,r,20.81493359972341,20.81493359972341,0.04318301438034844
69,11,i,20.681569141432735,20.681569141432735,0.038782296298975893
70,11,z,20.67229074718216,20.68233672641403,0.01915056468344749
71,11,y,20.7822606361631,20.668905424183237,0.3978851947186543
72,12,u,23.14717712543043,23.14717712543043,0.0
73,12,g,22.43046038466985,22.431323651763385,0.05014033052658721
74,12,r,21.1239381873266,21.11104835059406,0.036768515986746755
75,12,i,19.659009768475464,19.657308496273444,0.01216059714176486
76,12,z,19.0052750021359,19.004920837281624,0.005276867584620415
77,12,y,18.680042531177275,18.682546287507236,0.01452417495968947
78,13,u,20.80976980641477,20.810716426837452,0.03544676281446679
79,13,g,18.941694167360374,18.941071404944996,0.0046570974967963885
80,13,r,18.166981951696968,18.167637581015065,0.00422528086691458
81,13,i,17.869473300877864,17.869473300877864,0.0
82,13,z,17.734728033904673,17.734728033904673,0.003850193926636436
83,13,y,17.656087287754826,17.656881077642083,0.0030057544148426644
84,14,u,22.62460002155241,22.608113914867168,0.06919544853363006
85,14,g,20.149209501218774,20.151043575851375,0.01399035015200461
86,14,r,18.82766362929059,18.828573198565795,0.007170929082109518
87,14,i,17.581832012415617,17.581568317313746,0.0037576488484685148
88,14,z,17.041057932801138,17.041267418665086,0.0037519711924751207
89,14,y,16.78014832189038,16.779744501126668,0.002572063302590658
90,15,u,22.99003092382512,22.99003092382512,0.016751761591859093
91,15,g,20.864869617210353,20.86506200253488,0.012159144038463852
92,15,r,19.49784011028284,19.49841826682941,0.007002695513532536
93,15,i,18.347632876735467,18.347153895278893,0.006543477714705104
94,15,z,17.846805613853093,17.84673218412218,0.005742914100785685
95,15,y,17.608005649762468,17.609818896437393,0.007653169767868626
96,16,u,21.086189274638407,21.096378069414644,0.021215892159020467
97,16,g,18.64705939379076,18.646948212720716,0.0049726122165703445
98,16,r,17.36654427593218,17.36652362558634,0.004107331573824286
99,16,i,16.732536830496073,16.732184117057503,0.0045467576297401145
100,16,z,16.450118750872285,16.449544399655377,0.00379974468955533
101,16,y,16.2960951268842,16.297293485850666,0.0037027496666907343
102,17,u,21.391139314115527,21.391139314115527,0.0
103,17,g,20.198108141293293,20.197206811482733,0.010855647242995684
104,17,r,19.685412013386326,19.684751463566936,0.006784635334399596
105,17,i,19.494201273724734,19.494165773278755,0.008905886321361259
106,17,z,19.42267426483793,19.419390063057033,0.012522044191208077
107,17,y,19.383276304949,19.394205396949392,0.03123383561891225
108,18,u,22.975536585885337,23.030148113373503,0.14026233917072126
109,18,g,20.520720595521563,20.52204702383456,0.011657857828565904
110,18,r,19.228599297517412,19.228482386749796,0.007939596817710285
111,18,i,18.190831955796483,18.190934108794,0.0036403990507949706
112,18,z,17.74657722251855,17.746997559419917,0.004270484868117933
113,18,y,17.521451706767905,17.521091989850255,0.0045654137638851565
114,19,u,18.469054824125514,18.471413315143494,0.007390161893782104
115,19,g,16.299816040364966,16.299365259880897,0.0040405673268802105
116,19,r,15.421281646970058,15.421091263492876,0.003895450189797005
117,19,i,15.109936952110345,15.10856510628616,0.006492454412691281
118,19,z,14.97695530670514,14.976082217665992,0.00278674307099964
119,19,y,14.898085487546112,14.898085487546112,0.0011589291512059674
120,20,u,22.8348269729085,22.701324351818545,0.2127603290695909
121,20,g,20.28664436255157,20.28508709859528,0.009154270958579291
122,20,r,19.000545137595203,18.998994938025234,0.008337170424462087
123,20,i,17.842962311065325,17.842245253765164,0.004989855493368612
124,20,z,17.339764603596908,17.340027690666304,0.0036447750891076144
125,20,y,17.10069013631542,17.1018277361853,0.008660953729638293
126,21,u,23.160900016640618,23.160900016640618,0.0
127,21,g,22.294062731693714,22.29553346851604,0.036171276040748435
128,21,r,21.731854778249186,21.7332105452331,0.026370290945049002
129,21,i,21.55525180734811,21.54971904733628,0.027067397420112608
130,21,z,21.496976279798716,21.49303898441816,0.04833457965016289
131,21,y,21.418330615009978,21.35724922171284,0.10732172793207842
132,22,u,17.998775255778547,17.998775255778547,0.009370593939062033
133,22,g,16.18473582033777,16.18594202788675,0.0044442529941187345
134,22,r,15.489937318239708,15.48972505757798,0.004171081810907208
135,22,i,15.247718671072626,15.247718671072626,0.0
136,22,z,15.149971336711362,15.149971336711362,0.0015713141724109647
137,22,y,15.092442436640036,15.091444034219542,0.004271143954763007
138,23,u,22.421216813768265,22.421216813768265,0.0273608714433351
139,23,g,21.61570420741385,21.617202299236357,0.024127743064369798
140,23,r,21.201158287134902,21.20356737667589,0.019491110807632477
141,23,i,21.046771396546408,21.049354934673055,0.016679398009216417
142,23,z,20.98300692336504,20.976580699627547,0.0426017207812705
143,23,y,20.93932525428278,20.964300494515967,0.1059389516781001
144,24,u,21.057551590167083,21.052883677336496,0.03332518553280033
145,24,g,18.73525317312569,18.73559766930238,0.004262018804539155
146,24,r,17.758483930214997,17.757029088431167,0.00743293790004992
147,24,i,17.382930340079746,17.380759091047572,0.010981235407192204
148,24,z,17.217189527503248,17.21962345160754,0.004522127417795247
149,24,y,17.11437259855106,17.117534763283828,0.006176482189552371
150,25,u,20.47100568053399,20.47268527767456,0.016089842797449648
151,25,g,19.67214786604119,19.671802271302777,0.006856676451742374
152,25,r,19.374739784116354,19.375616744047328,0.0064362584032583705
153,25,i,19.275700510020894,19.27529778511723,0.007302318270405649
154,25,z,19.256694189106298,19.2556353969272,0.006934805174139984
155,25,y,19.262313368731952,19.263060194755028,0.023788268855306723
156,26,u,22.878052150240308,22.878052150240308,0.05136384942522021
157,26,g,21.936046659993256,21.935256018873233,0.02330043485275703
158,26,r,21.3727806540877,21.373368590947912,0.022176418721479785
159,26,i,21.15817466422012,21.15504368219388,0.020832574057192257
160,26,z,21.04981904628217,21.053092332974536,0.03496614114231993
161,26,y,21.047259898189946,21.055382319146332,0.102152326139294
162,27,u,19.677090087923816,19.680290061521163,0.01593802367581392
163,27,g,18.818100922704996,18.81283390844018,0.01607694366861603
164,27,r,18.441267447609317,18.431329323961577,0.01778536156068616
165,27,i,18.296375820959753,18.295022710853537,0.005873921233995356
166,27,z,18.257009808615468,18.25488321513951,0.006404440644212979
167,27,y,18.242798956275905,18.241648845364583,0.007983356834966029
168,28,u,17.124405615059235,17.12529452172552,0.006666681048183273
169,28,g,16.21802124213226,16.21763570413522,0.003568782745079512
170,28,r,15.918847866068113,15.917779195991276,0.00399875672002205
171,28,i,15.834763056353943,15.833353597731632,0.005968715168758188
172,28,z,15.82969384809991,15.83050382980252,0.0036340755246876437
173,28,y,15.836642550309985,15.835323593431792,0.0028580483014847935
174,29,u,20.151508858937234,20.15215937184085,0.005896415565936566
175,29,g,18.277427382890536,18.27703546536084,0.004336501072365454
176,29,r,17.517991745751686,17.51759454821929,0.003357234720027949
177,29,i,17.24220265018193,17.242478810823215,0.00400140596575435
178,29,z,17.124695004084735,17.124681435599328,0.003993663215584914
179,29,y,17.045237611999493,17.0443197973594,0.007324523849891216
180,30,u,21.270916187800292,21.279118590294253,0.07091267077774324
181,30,g,21.237708403114944,21.237917664587837,0.021290011148120833
182,30,r,20.92775637662802,20.92798548023624,0.015578472992707629
183,30,i,20.93697085905634,20.93955215825297,0.02326831502116008
184,30,z,20.95713812009981,20.955764015420478,0.0286322960177151
185,30,y,20.984225231391537,20.91098452722114,0.1177403176837193
186,31,u,21.157206644939226,21.155097510372617,0.018937126020916566
187,31,g,20.88019656248144,20.1314804461976,1.6661611849645799
188,31,r,20.87118076144075,19.670033534749592,1.972954017106661
189,31,i,19.477895145857808,19.47907531702313,0.009541476050376816
190,31,z,20.03429224198388,19.408658400607237,1.2922080864556458
191,31,y,19.387498397259204,19.39779888992153,0.02269938560282054
192,32,u,18.09712019546644,18.10281279001192,0.009595929060201822
193,32,g,16.703548930250864,16.704193264872558,0.0045843008099016366
194,32,r,16.170791343287945,16.170542228711486,0.004538482776714378
195,32,i,15.976780467439696,15.977735333818345,0.004852668953037908
196,32,z,15.906640430736665,15.90636312210937,0.0033155191052466003
197,32,y,15.863956271363852,15.864432767400906,0.0008643519869996932
198,33,u,18.637930693774994,18.63574215311211,0.004831601577619385
199,33,g,17.752166596076588,17.751741869762775,0.0039033216754063727
200,33,r,17.413785335536815,17.414139875245205,0.004292174338144948
201,33,i,17.299202667793587,17.29974248304282,0.004716829379723617
202,33,z,17.274843441410024,17.27465001430007,0.0026943222456842133
203,33,y,17.269244641126253,17.269138528807066,0.005451418008751321
204,34,u,21.889678724202597,21.886142635731225,0.02749642190286164
205,34,g,19.94671214867279,19.946399327318826,0.007295134925936843
206,34,r,19.17617658901458,19.176337488662636,0.0055245121613552006
207,34,i,18.89117604474549,18.89151022854049,0.0059805644007811945
208,34,z,18.757953993821978,18.75831418934424,0.007004999724377752
209,34,y,18.68390422301865,18.68204503667713,0.017717852684556223
